month,transaction_count,total_fee_btc
2010-04-01 00:00:00.000000 UTC,2078,0
2010-05-01 00:00:00.000000 UTC,6212,1034000000
2010-06-01 00:00:00.000000 UTC,6678,137000000
2010-07-01 00:00:00.000000 UTC,26488,953000000
2010-08-01 00:00:00.000000 UTC,11968,1097000140
2010-09-01 00:00:00.000000 UTC,13185,199960442
2010-10-01 00:00:00.000000 UTC,14386,100330370
2010-11-01 00:00:00.000000 UTC,63410,509000000
2010-12-01 00:00:00.000000 UTC,17142,272666142
2011-01-01 00:00:00.000000 UTC,34900,838959263
2011-02-01 00:00:00.000000 UTC,47168,1306180579
2011-03-01 00:00:00.000000 UTC,83222,13079292550
2011-04-01 00:00:00.000000 UTC,73936,16254588569
2011-05-01 00:00:00.000000 UTC,136636,41665170075
2011-06-01 00:00:00.000000 UTC,317482,84351119962
2011-07-01 00:00:00.000000 UTC,267260,38166493407
2011-08-01 00:00:00.000000 UTC,236300,24462801588
2011-09-01 00:00:00.000000 UTC,194707,16170129688
2011-10-01 00:00:00.000000 UTC,168707,11950624531
2011-11-01 00:00:00.000000 UTC,169012,9858816123
2011-12-01 00:00:00.000000 UTC,172435,50547586219
2012-01-01 00:00:00.000000 UTC,199876,58105844128
2012-02-01 00:00:00.000000 UTC,208362,15795414070
2012-03-01 00:00:00.000000 UTC,203391,15546589807
2012-04-01 00:00:00.000000 UTC,225197,16506220318
2012-05-01 00:00:00.000000 UTC,660620,46759704843
2012-06-01 00:00:00.000000 UTC,986424,64630834580
2012-07-01 00:00:00.000000 UTC,899998,58893916570
2012-08-01 00:00:00.000000 UTC,1097435,77803259774
2012-09-01 00:00:00.000000 UTC,946045,69274848005
2012-10-01 00:00:00.000000 UTC,935239,81148726874
2012-11-01 00:00:00.000000 UTC,944891,81857298593
2012-12-01 00:00:00.000000 UTC,1145572,93423289172
2013-01-01 00:00:00.000000 UTC,1425459,131817083977
2013-02-01 00:00:00.000000 UTC,1597550,141615745275
2013-03-01 00:00:00.000000 UTC,1699308,172049980241
2013-04-01 00:00:00.000000 UTC,1707146,159456613988
2013-05-01 00:00:00.000000 UTC,1746928,158892106667
2013-06-01 00:00:00.000000 UTC,1405869,125104761232
2013-07-01 00:00:00.000000 UTC,1206876,92368365583
2013-08-01 00:00:00.000000 UTC,1714680,135570800876
2013-09-01 00:00:00.000000 UTC,1597967,133720178146
2013-10-01 00:00:00.000000 UTC,1645247,108842407645
2013-11-01 00:00:00.000000 UTC,1961108,118572267826
2013-12-01 00:00:00.000000 UTC,1935103,49453286632
2014-01-01 00:00:00.000000 UTC,1817513,43872611386
2014-02-01 00:00:00.000000 UTC,1846258,39598492020
2014-03-01 00:00:00.000000 UTC,2102466,41999760856
2014-04-01 00:00:00.000000 UTC,1890902,39787975010
2014-05-01 00:00:00.000000 UTC,1993589,37110911053
2014-06-01 00:00:00.000000 UTC,1817173,32880618433
2014-07-01 00:00:00.000000 UTC,1932272,33478430413
2014-08-01 00:00:00.000000 UTC,2112222,37193803206
2014-09-01 00:00:00.000000 UTC,2144596,39082746891
2014-10-01 00:00:00.000000 UTC,2390212,38524106286
2014-11-01 00:00:00.000000 UTC,2512559,38990760757
2014-12-01 00:00:00.000000 UTC,2703958,41137192617
2015-01-01 00:00:00.000000 UTC,2890991,44983793977
2015-02-01 00:00:00.000000 UTC,2661477,38555289589
2015-03-01 00:00:00.000000 UTC,3050358,45194265161
2015-04-01 00:00:00.000000 UTC,3195618,56325008902
2015-05-01 00:00:00.000000 UTC,3208048,49485137511
2015-06-01 00:00:00.000000 UTC,3510876,56830311425
2015-07-01 00:00:00.000000 UTC,4313056,95406148192
2015-08-01 00:00:00.000000 UTC,3569102,78058155227
2015-09-01 00:00:00.000000 UTC,4148310,82743491643
2015-10-01 00:00:00.000000 UTC,4268853,82680674424
2015-11-01 00:00:00.000000 UTC,4759910,83611471811
2015-12-01 00:00:00.000000 UTC,6097424,106137305386
2016-01-01 00:00:00.000000 UTC,5941625,115003808316
2016-02-01 00:00:00.000000 UTC,6328098,126665041568
2016-03-01 00:00:00.000000 UTC,6092921,140110370327
2016-04-01 00:00:00.000000 UTC,6431712,161410235059
2016-05-01 00:00:00.000000 UTC,6785775,155025442000
2016-06-01 00:00:00.000000 UTC,6875990,187200722801
2016-07-01 00:00:00.000000 UTC,6502334,181474595859
2016-08-01 00:00:00.000000 UTC,6985382,213065232555
2016-09-01 00:00:00.000000 UTC,6658263,180476471599
2016-10-01 00:00:00.000000 UTC,7372569,229976817081
2016-11-01 00:00:00.000000 UTC,8089573,264462856386
2016-12-01 00:00:00.000000 UTC,8562381,300686990443
2017-01-01 00:00:00.000000 UTC,8617360,350243767651
2017-02-01 00:00:00.000000 UTC,8277352,450142493178
2017-03-01 00:00:00.000000 UTC,8866167,709675908707
2017-04-01 00:00:00.000000 UTC,8351640,637237968974
2017-05-01 00:00:00.000000 UTC,10061195,1166545336461
2017-06-01 00:00:00.000000 UTC,8071385,1253683760025
2017-07-01 00:00:00.000000 UTC,7183759,644159813056
2017-08-01 00:00:00.000000 UTC,7765430,845002564605
2017-09-01 00:00:00.000000 UTC,7345502,526320924887
2017-10-01 00:00:00.000000 UTC,8987745,545664873225
2017-11-01 00:00:00.000000 UTC,9345256,996433908391
2017-12-01 00:00:00.000000 UTC,11190438,1911957289128
2018-01-01 00:00:00.000000 UTC,8873120,1504927356432
2018-02-01 00:00:00.000000 UTC,5356201,249411856450
2018-03-01 00:00:00.000000 UTC,5695168,101759189513
2018-04-01 00:00:00.000000 UTC,5753341,99217751422
2018-05-01 00:00:00.000000 UTC,6138957,100954678434
2018-06-01 00:00:00.000000 UTC,5752514,104316059249
2018-07-01 00:00:00.000000 UTC,6393536,66931246706
2018-08-01 00:00:00.000000 UTC,6730044,69425084771
2018-09-01 00:00:00.000000 UTC,6871444,61885673826
2018-10-01 00:00:00.000000 UTC,7580518,54535440751
2018-11-01 00:00:00.000000 UTC,8054376,87172150495
2018-12-01 00:00:00.000000 UTC,8196417,69945903917
2019-01-01 00:00:00.000000 UTC,9222178,63462709170
2019-02-01 00:00:00.000000 UTC,9269096,74931036911
2019-03-01 00:00:00.000000 UTC,9457625,98804743088
2019-04-01 00:00:00.000000 UTC,11003022,268463155324
2019-05-01 00:00:00.000000 UTC,11505497,433719831244
2019-06-01 00:00:00.000000 UTC,10486006,370616844522
2019-07-01 00:00:00.000000 UTC,10305251,194505293071
2019-08-01 00:00:00.000000 UTC,10169294,133848259600
2019-09-01 00:00:00.000000 UTC,9798992,92496273569
2019-10-01 00:00:00.000000 UTC,9892853,89447413017
2019-11-01 00:00:00.000000 UTC,9243776,95142619225
2019-12-01 00:00:00.000000 UTC,9430057,63332918836
2020-01-01 00:00:00.000000 UTC,9612337,61855126519
2020-02-01 00:00:00.000000 UTC,9439548,74413889020
2020-03-01 00:00:00.000000 UTC,8904203,125066540359
2020-04-01 00:00:00.000000 UTC,8702021,81410859417
2020-05-01 00:00:00.000000 UTC,9092682,325239892964
2020-06-01 00:00:00.000000 UTC,9192440,125746827582
2020-07-01 00:00:00.000000 UTC,10158131,254566548947
2020-08-01 00:00:00.000000 UTC,9793583,337309613694
2020-09-01 00:00:00.000000 UTC,9495331,247293632379
2020-10-01 00:00:00.000000 UTC,9284673,348219346663
2020-11-01 00:00:00.000000 UTC,9145550,344247823555
2020-12-01 00:00:00.000000 UTC,9732999,305608170591
2021-01-01 00:00:00.000000 UTC,10075353,330755628821
2021-02-01 00:00:00.000000 UTC,8969658,400918713233
2021-03-01 00:00:00.000000 UTC,9342128,304938114233
2021-04-01 00:00:00.000000 UTC,8349964,437840755734
2021-05-01 00:00:00.000000 UTC,7791611,262689460368
2021-06-01 00:00:00.000000 UTC,6513015,117680139972
2021-07-01 00:00:00.000000 UTC,6816539,81284013640
2021-08-01 00:00:00.000000 UTC,7453146,40861970714
2021-09-01 00:00:00.000000 UTC,7611578,41739894296
2021-10-01 00:00:00.000000 UTC,8451537,47395550756
2021-11-01 00:00:00.000000 UTC,8299915,40451825024
2021-12-01 00:00:00.000000 UTC,8122009,39637347462
2022-01-01 00:00:00.000000 UTC,7742319,33782226839
2022-02-01 00:00:00.000000 UTC,6996128,31418946484
2022-03-01 00:00:00.000000 UTC,7979435,36106953703
2022-04-01 00:00:00.000000 UTC,7824701,31220419367
2022-05-01 00:00:00.000000 UTC,8057924,51770097346
2022-06-01 00:00:00.000000 UTC,7514822,48142562084
2022-07-01 00:00:00.000000 UTC,7682716,56118230683
2022-08-01 00:00:00.000000 UTC,7819508,40970070405
2022-09-01 00:00:00.000000 UTC,7683590,43771211857
2022-10-01 00:00:00.000000 UTC,7973133,37860915465
2022-11-01 00:00:00.000000 UTC,7873937,71180096865
2022-12-01 00:00:00.000000 UTC,7958165,55130871246
2023-01-01 00:00:00.000000 UTC,8758196,40207853997
2023-02-01 00:00:00.000000 UTC,8388596,60088198338
2023-03-01 00:00:00.000000 UTC,9775965,93357413313
2023-04-01 00:00:00.000000 UTC,10727603,81255423047
